time	V(n002)	V(n003)
8.830565582264416e-03	1.633294e+00	6.399449e+00
8.950565582264411e-03	1.701143e+00	6.258501e+00
9.070565582264406e-03	1.764387e+00	6.139353e+00
9.190565582264401e-03	1.817316e+00	6.052761e+00
9.310565582264396e-03	1.855151e+00	6.006542e+00
9.388374198146934e-03	1.869989e+00	6.000282e+00
9.434275872382575e-03	1.874816e+00	6.005538e+00
9.508882388175210e-03	1.876239e+00	6.028039e+00
9.628882388175206e-03	1.862001e+00	6.098378e+00
9.748882388175201e-03	1.828653e+00	6.204972e+00
9.868882388175196e-03	1.779195e+00	6.338199e+00
9.988882388175191e-03	1.718087e+00	6.486031e+00
1.010888238817519e-02	1.650844e+00	6.635124e+00
1.022888238817518e-02	1.583536e+00	6.772020e+00
1.034888238817518e-02	1.522238e+00	6.884360e+00
1.046888238817517e-02	1.472484e+00	6.962003e+00
1.058888238817517e-02	1.438766e+00	6.997941e+00
1.064904460093023e-02	1.428872e+00	6.999087e+00
1.070164307573984e-02	1.424386e+00	6.990753e+00
1.078700209081974e-02	1.425534e+00	6.959126e+00
1.090700209081974e-02	1.444426e+00	6.879589e+00
1.102700209081973e-02	1.481875e+00	6.765786e+00
1.114700209081973e-02	1.534509e+00	6.627990e+00
1.126700209081972e-02	1.597579e+00	6.478641e+00
1.138700209081972e-02	1.665391e+00	6.331220e+00
1.150700209081972e-02	1.731825e+00	6.199035e+00
1.162700209081971e-02	1.790883e+00	6.094018e+00
1.174700209081971e-02	1.837234e+00	6.025650e+00
1.186354557951844e-02	1.866119e+00	6.000207e+00
1.190824161011225e-02	1.872428e+00	6.001744e+00
1.196660364111191e-02	1.876402e+00	6.013193e+00
1.206115280407831e-02	1.872497e+00	6.053730e+00
1.218115280407830e-02	1.849681e+00	6.140852e+00
1.230115280407830e-02	1.808856e+00	6.260394e+00
1.242115280407829e-02	1.753703e+00	6.401565e+00
1.254115280407829e-02	1.689200e+00	6.551622e+00
1.266115280407829e-02	1.621169e+00	6.697019e+00
1.278115280407828e-02	1.555752e+00	6.824631e+00
1.290115280407828e-02	1.498853e+00	6.922938e+00
1.302115280407827e-02	1.455609e+00	6.983067e+00
1.312316365481693e-02	1.432511e+00	6.999995e+00
1.316181746042815e-02	1.427416e+00	6.997861e+00
1.322241755535203e-02	1.423701e+00	6.985088e+00
1.332051710773631e-02	1.428816e+00	6.940839e+00
1.344051710773631e-02	1.453134e+00	6.850863e+00
1.356051710773630e-02	1.495229e+00	6.729213e+00
1.368051710773630e-02	1.551304e+00	6.586872e+00
1.380051710773629e-02	1.616300e+00	6.436689e+00
1.392051710773629e-02	1.684348e+00	6.292221e+00
1.404051710773628e-02	1.749306e+00	6.166510e+00
1.416051710773628e-02	1.805311e+00	6.070903e+00
1.428051710773627e-02	1.847306e+00	6.014031e+00
1.437682611586326e-02	1.868304e+00	6.000005e+00
1.441547349427136e-02	1.873199e+00	6.002584e+00
1.447835990827445e-02	1.876620e+00	6.016776e+00
1.458007490787262e-02	1.870199e+00	6.064954e+00
1.470007490787262e-02	1.844363e+00	6.157795e+00
1.482007490787261e-02	1.800996e+00	6.281527e+00
1.494007490787261e-02	1.744011e+00	6.424980e+00
1.506007490787260e-02	1.678550e+00	6.575206e+00
1.518007490787260e-02	1.610523e+00	6.718643e+00
1.530007490787259e-02	1.546070e+00	6.842342e+00
1.542007490787259e-02	1.491010e+00	6.935138e+00
1.554007490787258e-02	1.450313e+00	6.988654e+00
1.563053068830825e-02	1.431372e+00	6.999952e+00
1.567150561035695e-02	1.426465e+00	6.996589e+00
1.573815946150581e-02	1.423595e+00	6.979915e+00
1.584580504153313e-02	1.432328e+00	6.924965e+00
1.596580504153312e-02	1.460631e+00	6.827529e+00
1.608580504153312e-02	1.506036e+00	6.700527e+00
1.620580504153311e-02	1.564447e+00	6.555423e+00
1.632580504153311e-02	1.630591e+00	6.405316e+00
1.644580504153310e-02	1.698498e+00	6.263756e+00
1.656580504153310e-02	1.762037e+00	6.143522e+00
1.668580504153309e-02	1.815474e+00	6.055468e+00
1.680580504153309e-02	1.853984e+00	6.007542e+00
1.688656270224904e-02	1.869736e+00	6.000211e+00
1.693132673982621e-02	1.874595e+00	6.005002e+00
1.700409978318015e-02	1.876385e+00	6.026089e+00
1.712129978023164e-02	1.863484e+00	6.092776e+00
1.724129978023163e-02	1.831275e+00	6.197333e+00
1.736129978023163e-02	1.782716e+00	6.329213e+00
1.748129978023162e-02	1.722190e+00	6.476509e+00
1.760129978023162e-02	1.655158e+00	6.625926e+00
1.772129978023161e-02	1.587671e+00	6.763976e+00
1.784129978023161e-02	1.525822e+00	6.878196e+00
1.796129978023160e-02	1.475192e+00	6.958276e+00
1.808129978023160e-02	1.440354e+00	6.996987e+00
1.814620226883604e-02	1.429221e+00	6.999290e+00
1.819701774356582e-02	1.424618e+00	6.991832e+00
1.827952115689570e-02	1.425015e+00	6.962767e+00
1.839952115689569e-02	1.442677e+00	6.885640e+00
1.851952115689569e-02	1.479052e+00	6.773701e+00
1.863952115689568e-02	1.530866e+00	6.637055e+00
1.875952115689568e-02	1.593444e+00	6.488037e+00
1.887952115689567e-02	1.661138e+00	6.340098e+00
1.899952115689567e-02	1.727837e+00	6.206594e+00
1.911952115689566e-02	1.787520e+00	6.099576e+00
1.923952115689566e-02	1.834800e+00	6.028705e+00
1.935952115689565e-02	1.865408e+00	6.000378e+00
1.940674434788935e-02	1.872258e+00	6.001590e+00
1.946416875704148e-02	1.876330e+00	6.012503e+00
1.955722734418197e-02	1.872909e+00	6.051528e+00
1.967722734418197e-02	1.850727e+00	6.137437e+00
1.979722734418196e-02	1.810441e+00	6.256076e+00
1.991722734418196e-02	1.755683e+00	6.396733e+00
2.003722734418195e-02	1.691397e+00	6.546713e+00
2.015722734418195e-02	1.623385e+00	6.692476e+00
2.027722734418194e-02	1.557786e+00	6.820864e+00
2.039722734418194e-02	1.500522e+00	6.920287e+00
2.051722734418193e-02	1.456762e+00	6.981771e+00
2.062161792586836e-02	1.432759e+00	6.999982e+00
2.066124292012836e-02	1.427476e+00	6.997927e+00
2.072148354113501e-02	1.423718e+00	6.985372e+00
